iter	Logloss
0	0.6676240926
1	0.6441998635
2	0.6250113905
3	0.6062412577
4	0.5890480171
5	0.5729231148
6	0.5578747472
7	0.5459339487
8	0.5332727904
9	0.5233346584
10	0.5140181136
11	0.5050101271
12	0.4957580531
13	0.487854464
14	0.4806183132
15	0.4745011062
16	0.4684164095
17	0.4630976956
18	0.4575267945
19	0.4529773659
20	0.4490415408
21	0.4444235736
22	0.4407261894
23	0.4362361937
24	0.4322503403
25	0.4292783078
26	0.4257812131
27	0.4221066347
28	0.4194178518
29	0.4163872982
30	0.4143331788
31	0.4122673854
32	0.4095454665
33	0.4069103103
34	0.4052389418
35	0.403592276
36	0.401527263
37	0.3996056775
38	0.3988572588
39	0.397527316
40	0.3966718504
41	0.3955909023
42	0.3939254378
43	0.3923208933
44	0.3906408905
45	0.389590158
46	0.3887119028
47	0.387503972
48	0.3858397077
49	0.3838405402
50	0.3828945345
51	0.3821018291
52	0.3812125817
53	0.3796692223
54	0.3781992808
55	0.3769872739
56	0.3758476741
57	0.3745933742
58	0.3737800517
59	0.3729700474
60	0.3723158648
61	0.3712927042
62	0.3704233309
63	0.3697163161
64	0.3691063121
65	0.368579728
66	0.3682656142
67	0.3676093536
68	0.3669987105
69	0.3662836678
70	0.365099182
71	0.3643766754
72	0.3630955103
73	0.3622766629
74	0.3617252927
75	0.3604498159
76	0.3597584168
77	0.3588455595
78	0.35846767
79	0.358067334
80	0.3572061596
81	0.3569339818
82	0.3563500608
83	0.3558030492
84	0.3547992472
85	0.3541962229
86	0.3537654233
87	0.3530206672
88	0.3521786521
89	0.3518073351
90	0.3514405486
91	0.3509227388
92	0.3503443613
93	0.3495368641
94	0.3485841595
95	0.3482586374
96	0.3475825259
97	0.346690498
98	0.3462465295
99	0.3456603547
